Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
th_router[GigabitEthernet1],,True,True,['10.10.20.148/24'],,True,1000000000.0,False,,[],[],['GigabitEthernet1'],Connected_by_TaeHyung_Py,,[],,,,,1500,,,,10.10.20.148/24,10.10.20.0/24,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
th_router[GigabitEthernet2],,True,True,['192.168.10.1/24'],,True,1000000000.0,False,,[],[],['GigabitEthernet2'],Enlace troncal generado por Gatekeeper,,[],,,,,1500,,,,192.168.10.1/24,192.168.10.0/24,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
th_router[GigabitEthernet3],,False,False,[],,True,1000000000.0,False,,[],[],['GigabitEthernet3'],,,[],,Administratively down,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
th_router[Loopback0],,True,True,['10.10.10.1/32'],,True,8000000000.0,,,[],[],['Loopback0'],,,[],,,,,1500,,,,10.10.10.1/32,10.10.10.1/32,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback10],,True,True,[],,True,8000000000.0,,,[],[],['Loopback10'],Interface_Number_10_Created_by_TaeHyung,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback11],,True,True,[],,True,8000000000.0,,,[],[],['Loopback11'],Interface_Number_11_Created_by_TaeHyung,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback12],,True,True,[],,True,8000000000.0,,,[],[],['Loopback12'],Interface_Number_12_Created_by_TaeHyung,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback13],,True,True,[],,True,8000000000.0,,,[],[],['Loopback13'],Interface_Number_13_Created_by_TaeHyung,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback14],,True,True,[],,True,8000000000.0,,,[],[],['Loopback14'],Interface_Number_14_Created_by_TaeHyung,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback100],,False,False,['10.100.100.1/32'],,True,8000000000.0,,,[],[],['Loopback100'],DESC-Loopback100,,[],,Administratively down,,,1500,,,,10.100.100.1/32,10.100.100.1/32,True,False,False,False,,False,NONE,DOT1Q,default,[],
th_router[Loopback102],,True,True,[],,True,8000000000.0,,,[],[],['Loopback102'],,,[],,,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
